Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,52,,
55,148,303.03755110918104,144
54,71,219.04738222929785,57
53,35,379.8917926906912,29
52,28,266.4215378043731,24
51,111,284.61769162349293,110
50,89,313.94223614816633,74
49,134,221.46050053988208,126
48,146,244.95108825119348,130
47,210,196.35547219807805,191
46,175,176.2903601650602,151
45,56,167.84947948412415,36
44,1221,231.2175747352386,1216
43,136,164.12131566245972,9
42,604,238.2251929710069,602
41,77,273.167836812967,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
