Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,49,,
55,153,355.36502397306964,146
54,67,269.61360395422105,55
53,39,438.724427621455,31
52,25,271.9962278008649,23
51,109,379.13632153424714,107
50,87,289.7349332085049,69
49,137,246.1148342873342,124
48,151,242.8201727510807,133
47,214,237.821319544677,198
46,174,255.01318016544707,157
45,52,214.0510001824199,38
44,1210,237.7347471610012,1207
43,147,214.7679416077196,11
42,604,,
41,74,264.0453376946931,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
