Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,52,,
55,147,339.65898969321523,143
54,73,265.0117072389843,58
53,33,389.59429403258986,28
52,27,226.89198650103114,22
51,119,346.9757478234944,116
50,85,240.33800989240643,76
49,134,161.48334874488552,128
48,146,156.00339726246912,132
47,213,156.37746015208276,196
46,173,213.2816018661938,154
45,53,145.25848679308154,36
44,1212,193.04554915427647,1207
43,146,130.55717949653297,10
42,594,133.04609054953167,593
41,86,247.22597868452453,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
