Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,47,554.9754310361363,44
55,155,225.43495232048951,143
54,73,55.46905837655173,58
53,37,33.229098570937495,32
52,21,36.87966882450001,20
51,118,86.40259698761062,113
50,89,9.37068104594805,77
49,127,9.070504104583607,122
48,156,6.734803024404411,136
47,209,5.0401689446897935,196
46,171,13.146477272381569,152
45,58,2.9701195090769232,39
44,1215,9.077624695663642,1213
43,140,0.21997715999999815,10
42,600,1.726915775091819,599
41,80,0.25754488000000564,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
