Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,52,503.11360531091384,51
55,148,256.5868226863513,143
54,73,176.37331606146412,58
53,34,246.451073660607,29
52,28,121.23056757374309,24
51,114,156.02761594566545,113
50,84,170.1758452269084,72
49,136,127.25708254619592,126
48,150,87.67720657085201,134
47,206,71.58584151945229,191
46,178,58.182293265457865,154
45,55,71.46094544473566,38
44,1210,77.078475051662,1207
43,144,36.452324039149346,8
42,608,47.496510370468464,605
41,73,35.73080268855736,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
