Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,51,,
55,147,350.37603759728245,142
54,76,307.90953582974913,60
53,32,506.7633615789007,29
52,28,188.94633741253975,24
51,118,449.36641557089183,117
50,83,366.0235995069575,75
49,133,215.0498879334488,126
48,150,136.60457077034707,134
47,210,203.09447095006016,195
46,172,161.8303145659284,152
45,58,203.12125742392706,39
44,1193,209.61482990737912,1191
43,163,148.93270697795506,11
42,605,,
41,74,309.2581333425952,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
