Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,48,,
55,145,332.1150078020438,137
54,80,297.2142672104068,59
53,33,350.0114992877931,29
52,27,257.623176727913,23
51,118,386.41546218727586,116
50,82,235.43824075780822,73
49,136,151.33003330820787,127
48,150,115.21425864240148,135
47,209,88.66409992034728,195
46,177,156.10282533121784,157
45,49,61.18525273731109,35
44,1215,176.85840411388767,1209
43,144,35.5028519238,10
42,599,71.3687893671437,598
41,81,20.417115360800004,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
