Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,48,,
55,151,567.6739566784033,143
54,72,595.5271581632891,57
53,39,642.4441942705942,33
52,23,,
51,115,692.8897041006791,113
50,85,687.6567856991093,73
49,136,628.0714743723339,127
48,152,514.8368906667923,137
47,203,441.6430342086933,191
46,184,419.6162919996258,160
45,49,324.4294662845104,38
44,1193,385.08880915580755,1190
43,163,284.7157777916019,10
42,609,280.6966333699717,608
41,71,263.8440901714991,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
