Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,52,566.752881400341,51
55,145,855.5625951790611,140
54,76,5568.604085063311,58
53,35,307.5825848036237,30
52,27,458.6223395920675,24
51,115,1699.0373231602398,114
50,87,427777404669.3839,76
49,130,3596.0648179984382,124
48,149,1246.000031624888,131
47,211,888.3650360915146,193
46,177,8308.4093704794,155
45,50,1996.7033473355964,34
44,1217,1377.643969353647,1210
43,144,730.4451338728367,11
42,602,,
41,76,1278.7849698186212,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
