Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,49,,
55,151,573.7494698836869,144
54,73,579.14423249871,59
53,35,628.1892302325343,31
52,26,427.54058753071797,24
51,110,712.2776930810046,109
50,82,728.5593759739654,66
49,143,644.9797290964884,127
48,144,525.7837844445116,129
47,215,451.0734469465665,195
46,177,420.35189287812193,157
45,51,325.4095949618613,37
44,1208,382.50102316076925,1204
43,147,275.8583558165714,8
42,616,279.09903544493477,613
41,65,264.7609276568104,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
