Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,51,,
55,145,0.16741390778571427,140
54,71,0.166336208245283,53
53,41,0.11694010658387098,31
52,24,1.3024508273636364,22
51,118,0.6382028704434782,115
50,91,1.4481717656956523,23
49,143,2.5529204666666665,3
48,149,0.17466424285714288,14
47,215,,
46,170,,
45,42,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,1,,
37,8,0.15168739914285712,7
36,24,,
35,7,,
34,13,0.04247338949999992,4
33,16,0.006117563999999992,1
32,12,0.5717459914285713,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
