Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,52,0.64672618396,50
55,150,0.35927100375793647,144
54,72,0.36699511333748625,58
53,35,0.39079792595850216,30
52,26,0.2178082348613682,23
51,113,0.8117017751953929,111
50,93,2.809939293104962,21
49,145,0.29905492584880755,3
48,147,0.6218555520107228,12
47,217,,
46,171,22.527468225892378,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,0.5754211313626467,3
38,1,,
37,7,,
36,24,,
35,7,,
34,13,0.4967207540715751,4
33,16,0.549487000067466,1
32,12,0.7335315351550892,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
