Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,52,0.4866776250235294,51
55,150,0.385565471517314,145
54,73,0.4165449695592703,60
53,32,0.3950887424859872,29
52,23,0.19237127752643005,19
51,120,1.1760965541508863,114
50,90,2.853250730022647,21
49,145,0.33492039104029736,3
48,147,0.5216416240744217,12
47,217,,
46,171,22.423430715705862,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,1,,
37,8,0.570870101828268,7
36,24,,
35,7,,
34,13,0.61388274323705,4
33,16,0.6665093028077063,1
32,10,0.8662881264473432,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
