Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,50,0.2663186664542607,49
55,151,0.27017485091653465,144
54,70,1.5547519471685574,56
53,37,0.3257542233974086,30
52,27,0.7008738120696902,24
51,112,0.41281705179263734,111
50,95,1.8409183870117125,23
49,143,16.12525702617251,3
48,146,56.86163858333606,11
47,218,,
46,171,213.0465246961141,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,25,261.02252273773155,24
35,7,,
34,13,92.95001216145607,4
33,16,59.04810742362406,1
32,12,167.6373031922208,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
