Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,55,,
55,145,0.724845939826389,144
54,73,2.5489539244745756,59
53,34,2.6181402485699996,30
52,26,3.6934993623782604,23
51,105,2.3676121544687208,103
50,101,1.8912160025152722,21
49,144,4.006032243511508,2
48,150,2.8217571034646585,14
47,215,,
46,171,10.8870054157529,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,2.4929936160719963,3
38,1,,
37,7,,
36,27,,
35,4,,
34,10,1.817108921364818,1
33,19,0.0858563449241551,1
32,11,2.025451115598836,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
