Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,49,,
55,153,0.4010820322652553,146
54,65,0.31737089891738685,53
53,37,0.35388755531722443,27
52,31,1.3376648828141076,25
51,112,,
50,94,2.6546077363887965,23
49,143,0.34922657797662504,3
48,148,0.5887610616755264,13
47,216,,
46,171,22.37962931755369,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,0.6246605392011653,3
38,1,,
37,7,,
36,25,,
35,6,,
34,12,0.657898684432415,3
33,17,0.7111421620706688,1
32,11,0.8393921370855486,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
