Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,50,,
55,147,0.17111373530496454,141
54,74,0.2180126320701754,57
53,36,0.07413089107000001,30
52,24,0.04757069590476191,21
51,120,0.6613917544655172,116
50,90,1.5088707497826088,23
49,143,0.1911359633333333,3
48,147,0.1526484236666667,12
47,217,,
46,171,9.990751999999999,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,,
34,9,,
33,20,0.0016276609999999886,1
32,11,0.12577876500000007,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
