Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,53,0.508405080382353,51
55,153,0.7261864447094596,148
54,70,2.5512960587499993,60
53,28,2.5703598386399995,25
52,31,3.721665905923913,23
51,114,1.842629042782706,112
50,92,2.979266669372749,21
49,145,3.386817425496789,3
48,146,2.324940151771919,11
47,218,,
46,171,0.9826916219105009,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,3.008090659365239,25
35,6,,
34,12,2.089393540803478,3
33,17,0.9690160852916057,1
32,10,2.434792818957666,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
