Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,49,,
55,144,0.7367081195474453,137
54,81,2.5510059854833327,60
53,34,2.5351302388258063,31
52,26,3.6663909458499995,24
51,115,2.3706113412410454,114
50,90,1.8770577814913312,21
49,145,4.269341514431955,3
48,147,2.7426367390641224,12
47,217,,
46,171,10.795398738735454,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.7468515290624126,1
37,7,,
36,25,,
35,6,,
34,13,1.456250218292912,4
33,16,0.12650726101530044,1
32,10,2.278693471432665,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
