Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,47,,
55,148,0.2554281015001694,139
54,78,2.8793631272063327,59
53,35,0.4709554493970731,31
52,26,0.8884580681634853,24
51,114,0.7164011174840617,113
50,93,3.4782943567089255,23
49,142,30.025481910250967,2
48,149,54.05697862658685,13
47,216,,
46,171,13.960833276891194,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,25,16.835792284414644,24
35,7,,
34,12,10.996019123421798,3
33,17,165.57827449134248,1
32,12,30.763311252943495,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
