Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,48,,
55,151,0.5357920986896868,143
54,69,0.4623417718208595,54
53,41,0.45596304819725575,32
52,22,1.3739785705827767,21
51,118,0.774870635132154,114
50,89,1.9612023360733397,20
49,145,1.7641747287760359,2
48,149,0.7326572899902976,13
47,216,,
46,171,6.670192102051995,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,1.2725352120223004,3
33,17,0.4386055728150431,1
32,11,1.103472100706895,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
