Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,52,,
55,142,0.2318073999521739,138
54,80,0.2853505655113333,60
53,33,0.18595307104199996,30
52,24,1.446777235672381,21
51,114,0.8555871060016728,110
50,97,2.137064867003333,24
49,142,0.40725762032533336,3
48,148,1.2788784982680617,13
47,216,,
46,171,22.3572296436,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.006301459800000006,1
37,6,,
36,26,4.954215666157979,25
35,6,,
34,13,0.26179621835568,4
33,16,0.020320135175999995,1
32,11,2.0773213719770585,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
