Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,50,,
55,143,0.7251164123540147,137
54,77,2.5895965543214285,56
53,37,2.526240756303333,30
52,26,2.7160267730913037,23
51,117,3.015798224694782,115
50,89,1.9905629580867485,21
49,145,4.385004261704752,3
48,149,2.4882101537683115,14
47,215,,
46,171,7.777572953410058,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,,
34,13,1.0472037677318995,4
33,16,0.31913823327688157,1
32,9,1.9528829372575796,4
31,59,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
