Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,51,,
55,150,0.20129466239429847,145
54,70,0.2406319271266087,57
53,36,0.21864673278881724,30
52,25,1.3580436035771635,22
51,110,0.7763433666924962,107
50,98,2.0410577738478994,22
49,144,2.7693697838082776,3
48,149,0.5595619540303974,14
47,215,,
46,171,5.994366401834984,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,7,0.3171500531238644,6
36,25,2.2928143147698696,24
35,7,,
34,13,0.1411371518915032,4
33,16,0.1237129362996928,1
32,12,0.5896837869228623,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
