Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,52,0.25857491115817577,50
55,145,0.2025880622329151,139
54,79,0.21457851859149052,60
53,33,0.25414566963728136,30
52,21,1.6687760834949832,18
51,124,0.8504457696496249,117
50,87,2.0999447145494834,21
49,145,2.893393081232138,3
48,148,0.6470050321784728,13
47,216,,
46,171,5.7329400584656085,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.43339189220080476,1
37,7,,
36,27,,
35,4,,
34,13,0.10290653463175307,4
33,16,0.24865699831624977,1
32,10,0.5824089904441809,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
