Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,52,0.5443004433411766,51
55,146,0.270963792173617,141
54,72,0.23279935775563637,55
53,37,0.2060317726053793,29
52,28,1.2908151988162,24
51,118,0.8117487600098735,117
50,89,2.231273777829913,23
49,143,0.42807450519999996,3
48,147,1.2875455240893332,12
47,217,,
46,171,22.250400392,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.18335122848000004,1
37,7,,
36,21,,
35,10,,
34,13,0.15977325393519998,4
33,16,0.04026446039999999,1
32,11,2.0563685569672536,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
