Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,56,0.41780287992495324,55
55,143,0.2497377887377319,142
54,72,3.2805458957537357,56
53,36,0.5673011734385427,29
52,24,4.398679683673857,20
51,119,7.110558786895939,114
50,91,5.568410392799958,22
49,144,61.405945550868225,3
48,147,73.54417687294668,12
47,217,,
46,171,155658902.72010383,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,9619856.832642285,3
38,1,,
37,7,,
36,23,,
35,8,,
34,12,19977115.41474292,3
33,17,7112485.960103135,1
32,12,19583261.43646346,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
