Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,51,4.634417971954584,49
55,152,1.3633463761862663,145
54,70,1.4114880610611968,57
53,36,0.9780589334858864,30
52,24,2.5946473810336115,21
51,117,1.2128069419946381,113
50,93,2.340036776878738,23
49,143,3.792945115621383,3
48,148,0.9666750081367249,13
47,216,,
46,171,11.062685904792431,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,1.7730439545003474,3
38,1,,
37,5,,
36,28,2.6097400068296315,26
35,5,,
34,13,1.381501097614148,4
33,16,0.6444871721301992,1
32,10,1.985792165816487,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
