Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,50,0.5207602059387756,49
55,147,0.7291686813285715,140
54,75,2.6074230734561397,57
53,33,2.578817990111111,27
52,30,3.6557125633125,24
51,114,2.3527952620635872,113
50,93,2.2059222528466464,23
49,143,4.2334456068554775,3
48,148,2.840775634269736,13
47,216,,
46,171,9.983049688815758,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,,
34,13,1.276391888788217,4
33,16,0.4663710257129685,1
32,11,1.8581787446671518,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
