Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,52,,
55,146,0.7280396474929578,142
54,74,2.5676684982586204,58
53,33,2.530438120767857,28
52,27,3.735562484909091,22
51,115,2.2916346263974505,112
50,91,2.1134528116182314,20
49,146,4.145359658833197,3
48,148,2.784517514673164,13
47,216,,
46,171,11.085945483768562,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,,
34,12,1.2137799289136453,3
33,17,0.6797435628612578,1
32,12,1.8748939435148193,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
