Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,54,0.4765433212830189,53
55,145,0.7051511843802818,142
54,75,2.5655287419830506,59
53,31,2.5654164848740737,27
52,25,3.890323835889473,19
51,119,1.5709147010661286,113
50,92,2.426595927374936,22
49,144,5.0903227098890484,3
48,148,2.02858443533367,13
47,216,,
46,171,0.7363239972875704,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,,
34,11,1.4151628024734713,2
33,18,0.47226923522069736,1
32,10,1.9928326552112765,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
