Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,55,0.24882785451512496,52
55,143,0.14671179970602505,139
54,76,0.23276043904850596,57
53,37,0.23748234937478666,31
52,25,1.3125364278701268,23
51,115,0.8463790186830649,113
50,93,1.9455926834037578,23
49,143,2.958622434395985,3
48,149,0.6894702732095409,14
47,215,,
46,171,5.898227378934138,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
37,8,0.40802825344207805,7
36,22,,
35,9,,
34,13,0.07440142314164942,4
33,16,0.24676834760060923,1
32,12,0.713044403015284,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
