Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,52,2.201494966639753,51
55,149,1.5335832623566996,144
54,71,1.513384448715028,57
53,34,1.1834049757625624,28
52,27,2.19056054818685,22
51,113,1.2327528779747963,110
50,97,2.3487991060348055,24
49,140,1.2932857395922244,1
48,150,1.410186626689492,13
47,216,,
46,171,12.825182080520076,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,3,0.633968071732721,2
38,2,1.6570438966564947,1
37,7,,
36,26,,
35,5,,
34,13,1.8866733354980407,4
33,16,2.3895375026134738,1
32,12,0.667715552919474,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
