Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,51,,
55,152,0.6777455751838658,147
54,67,0.444581177774897,56
53,38,0.3910158988767439,31
52,24,1.6329733331687246,22
51,110,0.7959666188334018,107
50,100,1.8289493329990143,24
49,142,2.137120489212391,3
48,148,0.8718056949507212,13
47,216,,
46,171,3.852789659801058,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,1,,
38,3,0.3165857604563628,1
37,7,,
36,23,,
35,8,,
34,13,0.5625231498960793,4
33,16,0.6070758687199872,1
32,10,0.43355449706416926,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
