Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,52,,
55,140,0.3955871081729208,136
54,78,0.358709994155415,56
53,39,0.3732571528939157,32
52,22,1.5843872942833335,21
51,121,1.1027964910584265,117
50,89,2.656873326023005,23
49,142,0.342757135,2
48,147,0.667286939451617,11
47,218,,
46,171,22.39258203413739,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.6701069171802212,1
37,6,,
36,28,6.100874043733692,27
35,4,,
34,12,0.6259455985858834,3
33,17,0.702348713468484,1
32,11,0.34948858207077926,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
