Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,50,,
55,150,0.2634069059208333,144
54,72,0.2972621291193103,58
53,35,0.18934095702666665,30
52,25,1.3649958874727273,22
51,116,0.8500848825488849,113
50,92,2.3321575575443636,22
49,143,0.46227099044000003,2
48,149,1.156777578016,13
47,216,,
46,170,,
45,42,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,0.5863239705882454,3
38,1,,
37,5,,
36,27,4.7934551683952025,25
35,6,,
34,12,0.22730832098239995,3
33,17,0.044940828599999996,1
32,11,1.5716334516963568,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
