Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,50,0.44636100640816323,49
55,147,0.1557707564142857,140
54,78,0.14850066113333332,60
53,31,0.07369037977142857,28
52,27,1.2661796929999998,22
51,116,0.7050459859380531,113
50,93,1.4664889540434785,23
49,143,2.528677593333333,3
48,148,0.3313644292307692,13
47,216,,
46,171,5.222479,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,,
34,13,0.04227039199999998,4
33,16,0.0010014099999999942,1
32,11,0.3707877533333333,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
