Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,48,2.055527423954906,47
55,157,1.067560061005631,148
54,67,1.3911970915601042,57
53,32,1.6113014408887196,26
52,27,2.543325174303606,20
51,118,1.4402014336548492,113
50,93,2.308960323385942,23
49,142,1.6989416923328515,2
48,149,0.9278482284985495,13
47,216,,
46,171,12.348007438239453,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,5,,
36,29,2.6977362843748574,27
35,4,,
34,13,0.49312689208888516,4
33,16,0.12487771445981236,1
32,12,0.5330911058954358,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
