Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,48,,
55,150,0.20374003120388173,142
54,70,0.25598480613873825,54
53,40,0.2666781998979197,31
52,25,1.3321825084786258,23
51,119,0.8008006571038041,117
50,86,1.9694751440179394,20
49,145,3.4984305649559575,2
48,150,0.568867298963933,14
47,215,,
46,171,5.884650963102075,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,2.455686627351443,25
35,6,,
34,12,0.14016468527102066,3
33,17,0.20285319869577895,1
32,11,0.7977929007033783,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
