Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,56,0.3876994605301143,54
55,141,0.09095771014389153,139
54,74,0.06807513105050592,55
53,39,0.035982999715576856,31
52,25,0.14646284735512533,23
51,113,0.061481811588798,111
50,91,285447.81791149563,77
49,133,2.6723561256906687,128
48,147,1.220005346829998,133
47,209,0.6706313016275114,193
46,176,1.2832483670838732,154
45,57,1.6602871399358414,40
44,1205,0.936102967564057,1204
43,148,1.1120658416051041,9
42,612,0.8472190914866701,610
41,67,0.5355422091851374,2
40,3,0.843289864706713,1
39.0,3.0,,
38.0,1.0,,
37,7,,
36.0,27.0,,
35,4,0.36804966205195255,2
34,12,0.674328332533145,8
33,17,3.17607029720231,5
32,11,0.6375276417942045,9
31,52,0.2767929782043812,26
30,10,,
29,9,0.2966024033606411,6
28,4,,
27,13,0.33695158099913847,5
26,6,,
25,66,0.5356890021072098,2
24.0,1.0,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
