Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,52,,
55,147,149.47493997293626,143
54,70,131.4838294885605,55
53,37,198.39682021561313,29
52,25,166.16824650574887,21
51,117,156.26095979386645,113
50,85,115.63412611553795,73
49,138,138.17859372198848,129
48,151,189.7802481002616,138
47,203,128.9207626230487,192
46,179,158.26636106769553,156
45,52,165.6700504537982,37
44,1193,112.01972539136757,1189
43,165,77.37915418842782,11
42,616,,
41,62,91.09817177246047,3
40,2,,
39,3,,
38,1,,
37,7,183.35311973941316,2
36,25,,
35,6,95.11470930446922,1
34,12,205.0927821635296,3
33,16,89.38622341181835,10
32,13,32.942710256389205,4
31,55,172.56927531631555,43
30,6,,
29,9,,
28,4,,
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
