Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,49,,
55,142,222.2433541133895,135
54,78,1024.5230467337258,55
53,37,209.96981764637002,29
52,25,251.67708575714573,21
51,106,180.59624087424936,102
50,94,281.36086410842273,71
49,140,231.27344786629374,129
48,147,223.00224121652235,134
47,207,178.994912001474,192
46,179,192.15633010192983,156
45,52,166.6447297267435,37
44,1225,133.61928304619508,1221
43,132,125.95283228630869,10
42,613,135.30081729141926,612
41,67,730.0419915734974,4
40,1,,
39,3,,
38,1,,
37,6,337.45326548506455,1
36,27,155.71746460677315,26
35,5,11.858281258382249,1
34,13,210.83036668252976,4
33,16,208.48425752785525,11
32,12,335.37615977485177,4
31,52,213.8846839755679,40
30,9,,
29,9,,
28,4,,
27,13,251.98935426672597,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
