Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,52,404.4835508445314,51
55,150,245.25183609489486,145
54,69,209.6650060388139,56
53,38,290.0462180643065,31
52,24,324.3652399265421,22
51,117,189.71235903177055,114
50,88,194.2420506076442,77
49,130,205.40100140122098,125
48,146,254.35497384785452,129
47,216,160.74620283041762,196
46,174,186.0548989492096,155
45,55,202.5173360914402,39
44,1204,191.91438477506168,1202
43,148,205.54988292397482,7
42,605,205.28649112455835,601
41,78,518.8763986722029,4
40,1,,
39,3,,
38,1,,
37,6,173.24781070188874,1
36,28,154.57300470222097,27
35,4,230.90605475787243,1
34,13,172.8680238433019,4
33,16,166.58534945240515,11
32,12,248.94681920890275,4
31,55,224.5793172019453,43
30,6,,
29,9,,
28,4,,
27,13,448.6891805717214,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
