Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,51,394.2168598304587,49
55,147,240.48773443436707,140
54,72,179.50691335485172,54
53,39,328.90731517419397,30
52,26,315.2984797081375,23
51,119,182.50814435461172,117
50,77,230.30432540881455,69
49,145,206.1155714763521,132
48,151,281.5808427215893,141
47,197,170.7341772195996,189
46,179,180.25279639330674,153
45,55,214.257679686429,37
44,1204,180.9571261256919,1200
43,154,209.96349139031224,11
42,613,,
41,66,559.4579330307677,4
40,1,,
39,3,,
38,1,,
37,7,173.45781351891128,2
36,25,,
35,6,384.28307664245176,1
34,12,265.66042742754524,3
33,16,183.20668436175032,10
32,13,226.32974157868318,4
31,51,227.55077305488635,39
30,10,,
29,9,,
28,4,,
27,13,532.0858521125574,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
