Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
58,65,5669.474008817403,64
57,169,5731.3244818253515,162
56,88,5579.417911403205,71
55,57,5176.393128327342,47
54,31,5271.182343888409,27
53,137,6100.996311588319,133
52,144,11766368.214016514,125
51,224,5286.324120672333,204
50,195,5150.501969664482,182
49,261,5150.529120408008,241
48,194,5117.3952675118935,169
47,65,4733.587841378733,47
46,1225,5539.744858364215,1223
45,164,4859.251425217448,12
44,610,,
43,71,6225.884549405187,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,5383.926716038203,2
38.0,29.0,,
37,6,3509.9505136178323,1
36,16,5442.433515964616,4
35,23,5622.781546795157,14
34,14,5417.173322803362,4
33,58,7646.63060958896,44
32,11,,
31,16,5439.3924887314015,6
30,11,5799.125184502082,3
29,18,4324.904020345486,2
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,2.0,,
19.0,1.0,,
18.0,1.0,,
