Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,46,,
55,158,246.92060219113077,148
54,66,176.77133023507162,56
53,32,301.52393468746175,25
52,31,303.297055426114,23
51,118,196.01489290731698,116
50,83,186.31277472927442,74
49,131,205.61320019500522,123
48,154,270.65423517212497,135
47,208,159.60846704779905,194
46,175,177.83283269806805,154
45,57,189.55367483292778,40
44,1216,180.34364021059721,1215
43,137,174.60400952494106,9
42,600,211.5115924009922,598
41,81,530.0256404508903,4
40,1,,
39,3,,
38,1,,
37,7,216.25493823236548,2
36,22,,
35,9,222.19598347440206,1
34,13,346.91690926148226,4
33,15,173.7392622409978,10
32,12,225.19628203453553,3
31,55,208.1050002316764,42
30,7,,
29,9,,
28,4,,
27,13,508.6930812165265,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
