Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,53,353.46153846153845,52
55,143,100.37410071942446,139
54,76,46.08771929824562,57
53,36,79.7,30
52,26,53.34782608695652,23
51,111,40.091743119266056,109
50,94,28.658974358974344,78
49,127,37.8780487804878,123
48,156,28.73722627737226,137
47,208,40.785714285714285,196
46,171,31.065789473684198,152
45,55,35.55555555555556,36
44,1208,17.336475477971735,1203
43,150,11.229999999999837,10
42,611,154.2440819672131,610
41,68,9.333333333333334,3
40,2,,
39,3,,
38,1,,
37,7,384.0,2
36,25,,
35,6,16.0,1
34,12,59.666666666666664,3
33,17,40.27272727272727,11
32,12,117.0,4
31,53,65.44414634146341,41
30,8,,
29,9,,
28,4,,
27,13,84.0,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
