Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,50,,
55,147,425.0395136778113,141
54,78,481.73720884622924,61
53,29,683.8332528686473,27
52,28,588.6915292758553,22
51,119,458.7957482130604,116
50,84,533.5204424245712,75
49,134,543.1023684727919,127
48,151,512.4201930789595,136
47,205,700.2115463674098,192
46,168,877.014728250948,145
45,63,1133.2742810062646,37
44,1223,510.81000128106695,1219
43,134,405.411996804491,10
42,598,498.87987162000394,597
41,81,778.3442800453113,3
40,2,,
39,3,,
38,1,,
37,7,64.363734763705,2
36,26,,
35,5,1938.7595440015284,1
34,13,509.4294244491639,4
33,15,910.0,10
32,13,939.0609626685032,4
31,51,512.3245222016094,39
30,10,,
29,9,,
28,4,,
27,13,505.4404083005529,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
