Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,51,,
55,145,154.9181041343886,140
54,78,129.15126070241217,60
53,28,179.652086932131,25
52,32,186.89928996254963,24
51,115,155.87520028936711,114
50,82,113.84452875144275,71
49,133,143.09771286198546,122
48,157,187.93249229906723,137
47,210,125.46042673341097,198
46,164,151.9539902850054,147
45,61,152.6857981584108,37
44,1216,109.83263908260429,1212
43,141,87.55397046238386,10
42,606,142.86718261070524,605
41,74,109.07796624991147,4
40,1,,
39,3,,
38,1,,
37,7,201.80561015103694,2
36,26,,
35,5,20.482298410191106,1
34,13,175.93708978806058,4
33,16,91.30044981445971,11
32,12,35.44787471576967,4
31,51,181.67351126993734,39
30,10,,
29,9,,
28,4,,
27,13,6.883715952103557,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
