Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,51,,
55,150,115.56898383636427,145
54,66,138.85224576394594,53
53,37,95.24203298073023,27
52,29,158.47066874259207,23
51,105,91.96419849492881,103
50,95,187.23137411840696,73
49,141,132.64612250161423,132
48,139,103.03711054436037,129
47,214,81.00689170300743,194
46,177,87.04194118611935,156
45,54,100.30844888560357,39
44,1215,49.42203065429233,1213
43,141,53.60926180875272,11
42,608,,
41,70,70.88049228114384,3
40,2,,
39,3,,
38,1,,
37,7,246.78742940871007,2
36,25,,
35,6,102.9659067330831,1
34,13,281.0765478471551,4
33,15,201.15141464326476,10
32,11,90.34457389385307,2
31,54,173.09126736100163,40
30,9,,
29,9,,
28,4,,
27,13,194.98987732812293,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
