Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,51,,
55,150,123.82758620689656,145
54,68,47.74545454545454,55
53,36,60.57142857142857,28
52,25,39.75,20
51,116,46.52252252252252,111
50,78,33.80624999999999,64
49,144,45.72222222222222,126
48,149,41.045112781954884,133
47,211,36.13846153846154,195
46,178,37.556075949367084,158
45,48,44.857142857142854,35
44,1214,17.754395695364238,1208
43,146,23.827272727272597,11
42,614,,
41,65,2.0,4
40,1,,
39,3,,
38,1,,
37,7,295.0,2
36,27,,
35,4,10.0,1
34,13,8.5,4
33,14,23.11111111111111,9
32,14,112.25,4
31,51,63.99999999999998,39
30,10,,
29,9,,
28,4,,
27,13,80.0,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
