Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,53,345.98747317487937,52
55,142,219.40421623333265,138
54,79,189.3421289410363,59
53,34,320.3881915231283,30
52,24,299.51087556839695,21
51,110,174.60270090508914,106
50,92,239.79507830403261,73
49,142,193.36883582603213,133
48,149,251.20756479037112,140
47,196,169.49328041421364,187
46,183,209.49943945582822,155
45,54,207.31128898521195,38
44,1199,230.92685326362226,1196
43,158,209.86159481939828,11
42,615,,
41,62,13.464547461464463,2
40,3,,
39,3,,
38,1,,
37,7,165.10704182771497,2
36,24,,
35,7,208.91878885062624,1
34,13,302.1821331073842,4
33,15,254.2914680040367,10
32,13,235.82138046813338,4
31,56,194.65017467123732,44
30,5,,
29,9,,
28,4,,
27,13,487.63387458978104,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
