Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,47,725.8745648382428,46
55,157,222.770258550525,147
54,67,294.95678233073073,56
53,37,261.9319176401186,30
52,25,260.9799917140014,22
51,119,198.89206910298677,116
50,85,166.50908050602018,76
49,136,290.0833511971243,130
48,144,202.23126354080537,132
47,203,165.39373073854006,186
46,183,160.95188581925103,154
45,56,149.8273538378368,39
44,1217,113.42172528711559,1215
43,139,123.55818701271913,11
42,598,,
41,81,179.49503909575992,4
40,1,,
39,3,,
38,1,,
37,7,303.67780750191787,2
36,27,,
35,4,381.25124553316346,1
34,13,226.09139501618847,4
33,14,193.16775721880867,9
32,14,132.2316812642065,4
31,48,227.7911756277024,36
30,13,,
29,9,,
28,4,,
27,13,466.79894357330613,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
