Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,49,,
55,143,130.76177181272433,136
54,78,101.93029804257367,56
53,36,122.71251344205506,29
52,27,129.9677826470417,23
51,114,106.84938396370315,112
50,88,133.17898735576975,75
49,135,110.94143415685664,128
48,154,104.23646886815324,140
47,208,83.60259913974052,199
46,170,73.14922936089899,154
45,54,99.59781389061759,37
44,1209,42.159496962088845,1205
43,149,73.58286858110395,11
42,604,,
41,74,162.103691473274,3
40,2,,
39,3,,
38,1,,
37,7,284.5097097033804,2
36,24,,
35,7,265.89421160336224,1
34,13,256.26142409235547,4
33,16,245.76916433744617,11
32,12,87.57884323482142,4
31,50,206.40010948241775,38
30,11,,
29,9,,
28,4,,
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
