Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,53,363.93701857881143,51
55,146,230.33649605059165,141
54,72,204.58811848869672,55
53,38,315.08969387897577,30
52,25,330.70324055519336,22
51,116,168.41555318125808,113
50,88,234.61984426614538,76
49,134,190.21155729694408,128
48,146,250.86237014185474,132
47,209,162.45481097397644,192
46,177,203.16159455895766,154
45,56,215.08121559289378,39
44,1202,222.71792240784987,1200
43,153,208.63942664082555,10
42,612,223.67354625308593,611
41,68,106.7963327825687,4
40,1,,
39,3,,
38,1,,
37,6,185.1876158475734,1
36,27,171.55699051380574,26
35,5,233.68630324659307,1
34,12,280.8048269709387,3
33,17,266.56851990449417,11
32,12,233.5878990954293,4
31,54,189.71690631005507,42
30,7,,
29,9,,
28,4,,
27,13,482.7183445120254,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
