Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,50,368.56181486970814,49
55,150,231.51725922427022,143
54,71,201.38474932041314,56
53,34,292.907229004787,27
52,22,241.21427485646544,16
51,117,183.16358794547827,108
50,92,256.62696234539516,75
49,137,205.63902237345755,130
48,142,255.0833483157617,130
47,207,163.1082735409809,188
46,177,210.28894011529985,150
45,56,207.5822345152437,35
44,1229,228.32304302761392,1223
43,131,207.07650560364576,11
42,617,,
41,62,119.53778996900746,4
40,1,,
39,3,,
38,1,,
37,7,166.12909490608308,2
36,26,,
35,5,177.95060335294193,1
34,12,329.66144347845983,3
33,14,268.11761327946635,8
32,15,258.11628466764137,4
31,51,195.86844692031542,39
30,10,,
29,9,,
28,4,,
27,13,513.6085284104547,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
