Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,51,405.4773833342578,50
55,143,262.80271786531296,137
54,80,201.94518585169146,59
53,34,308.19809863315703,30
52,27,348.4562752717144,24
51,116,178.56150409210647,115
50,81,232.52194244223324,71
49,140,166.73160219062362,129
48,143,238.47280105838766,130
47,204,164.99258305778847,185
46,181,223.4832361986039,151
45,53,210.67399686104895,33
44,1241,239.09014208135542,1233
43,121,186.48309026454137,11
42,601,,
41,78,129.61464374436082,4
40,1,,
39,3,,
38,1,,
37,7,164.97554667143731,2
36,26,,
35,5,179.5646141902248,1
34,12,173.8112120104015,3
33,14,279.21638716013103,8
32,15,216.6287717079856,4
31,51,207.30714053876963,39
30,10,,
29,9,,
28,4,,
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
