Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,57,298.1243047441881,56
55,135,,
54,82,130.32537112811997,59
53,35,197.09593164716517,31
52,25,178.07968515858283,23
51,111,159.4592229582608,109
50,88,112.20926422653255,72
49,136,139.84364548379713,126
48,152,176.49897483823264,136
47,211,125.75840810780025,198
46,178,155.7357983052919,161
45,51,158.38782295363717,41
44,1205,,
43,147,115.37527433566372,9
42,600,144.4889811958502,598
41,81,93.79693159578892,4
40,1,,
39,3,,
38,1,,
37,7,184.2449372746828,2
36,21,,
35,10,47.890681669424794,1
34,12,171.08089439504647,3
33,17,100.18901150499931,11
32,11,49.8171752420476,3
31,54,184.20930083087933,41
30,8,,
29,9,,
28,4,,
27,13,10.563063160506317,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
