Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,54,894.8163053777239,52
55,147,222.03195541211093,143
54,68,187.50855185778167,53
53,39,210.99514160642772,29
52,27,242.44777438472948,23
51,114,167.60923229417497,112
50,88,332.2639324585504,75
49,135,242.33122683390928,128
48,149,350.8153191654152,135
47,205,223.86362958537904,191
46,171,177.32443077580595,147
45,59,177.90677330441574,35
44,1215,150.80249636951245,1209
43,145,186.2514599273942,11
42,615,,
41,63,287.2730294067257,3
40,2,,
39,3,,
38,1,,
37,7,223.74151429792664,2
36,28,,
35,3,70.42394079375981,1
34,11,70.9235744321345,2
33,18,186.19054368361364,11
32,12,48.07599578989766,4
31,49,184.78502473080292,37
30,12,,
29,9,,
28,4,,
27,13,228.76749221924,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
