Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,51,,
55,153,82.37837837837837,148
54,65,52.69090909090909,55
53,38,85.16666666666667,30
52,25,41.0,22
51,118,39.59130434782609,115
50,86,27.928947368421046,76
49,132,42.07936507936508,126
48,154,36.41304347826087,138
47,206,38.98461538461538,195
46,181,31.636211180124217,161
45,46,40.04416666666668,36
44,1204,15.940417014178482,1199
43,153,24.977777777777696,9
42,597,138.18200000000002,595
41,83,22.0,3
40,2,,
39,3,,
38,1,,
37,7,384.0,2
36,25,,
35,6,11.0,1
34,13,41.25,4
33,15,40.479,10
32,12,40.820000000000014,3
31,53,56.33224999999997,40
30,9,,
29,9,,
28,4,,
27,13,85.0,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
