Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,50,,
55,150,242.77600298823512,144
54,69,181.47557866162214,55
53,38,319.2696441437944,30
52,27,336.6479961294061,24
51,114,187.29086589675913,113
50,81,200.4125239673636,69
49,141,207.6924974820855,128
48,143,298.85581993721377,129
47,211,156.992262696758,191
46,183,185.7629805263837,159
45,48,188.50899178856807,36
44,1213,193.56177144411288,1208
43,144,203.44399269608397,9
42,609,197.17769184207373,607
41,72,519.6224332869917,4
40,1,,
39,3,,
38,1,,
37,7,227.8341829819924,2
36,27,,
35,4,277.9132682629943,1
34,12,344.74749738965147,3
33,16,204.0768150324846,10
32,12,239.5582050617301,3
31,55,214.00411015795152,42
30,7,,
29,9,,
28,4,,
27,13,451.31539597743995,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
