Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,48,506.09787234042557,47
55,154,185.61682758620694,145
54,69,181.8327142857144,56
53,36,223.65765517241385,29
52,26,234.2485818181819,22
51,114,151.86809369369374,111
50,93,159.60721012658232,79
49,133,225.338843076923,130
48,143,219.6519841221374,131
47,205,183.57150802139037,187
46,183,201.0219354838709,155
45,54,157.6746842105264,38
44,1213,144.02396555371905,1210
43,142,81.01573333333327,9
42,609,149.84306095551895,607
41,71,45.86666666666648,3
40,2,,
39,3,,
38,1,,
37,7,333.2600000000002,2
36,25,,
35,5,,
34,14,142.9000000000001,4
33,16,224.8970181818181,11
32,11,321.9199999999998,3
31,54,202.68582243902435,41
30,8,,
29,9,,
28,4,,
27,13,301.9999999999991,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
