Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,51,299.14288492851944,50
55,144,107.08655536923547,138
54,76,587.0456316419543,56
53,37,223.7630873651398,30
52,23,522.5046989876545,20
51,118,2256.700244636104,113
50,80,16955692080.920341,68
49,142,218707.6461146177,128
48,155,12999440.613594646,141
47,204,799427.8935421756,196
46,168,2163032161.231447,149
45,56,7731486855.209249,34
44,1229,336158472572.4099,1222
43,131,95429035633.83379,10
42,602,2528519790.1541214,601
41,78,10429773782685.7,4
40,1,,
39,3,,
38,1,,
37,7,11419977408.523083,2
36,26,,
35,5,49564209088.60134,1
34,13,390541185468.2969,4
33,14,304806301145.2335,9
32,14,70972534588.84077,4
31,51,48547477912.94353,39
30,10,,
29,9,,
28,4,,
27,13,39539949308.72137,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
