Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,50,,
55,149,148.68481042226975,143
54,70,272.78673611128346,55
53,35,201.33256371991888,27
52,29,470.8682571213453,23
51,113,518.6234551848055,111
50,90,69207041066.05304,76
49,130,35384.47632191209,124
48,155,21253.438323795897,137
47,211,1176.7830604711082,199
46,165,1093.947289587657,149
45,57,1134.3119406119436,35
44,1224,456.52518384256155,1218
43,136,680.8327601038856,11
42,601,,
41,77,471.93055128735006,3
40,2,,
39,3,,
38,1,,
37,7,239.26812074015652,2
36,26,,
35,5,2134.1693013142867,1
34,13,750.0696334334364,4
33,14,1029.3395879875675,9
32,13,934.4118556951922,3
31,50,476.02576724157404,37
30,12,,
29,9,,
28,4,,
27,13,304.5703452688949,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
